# Aggregated CDRI dimension scores for the observable Saudi DNS ecosystem.
#
# Source:
# Alharbi et al.,
# "A Longitudinal Assessment of DNS Resilience and Robustness in Saudi Arabia."
#
# This file contains the normalized dimension scores used to compute the
# Composite DNS Resilience Index (CDRI) reported in the paper.
#
# Active measurement campaign:
# 2024-09-04 to 2024-12-30.
# Values were derived from repeated measurements after persistence filtering,
# as described in the manuscript.
#
# Columns S1-S7 are health-oriented resilience scores normalized to the
# interval [0,1] using min-max normalization across the evaluated Saudi
# domain categories. Risk-oriented metrics were inverted before normalization.
#
# S1 = Authoritative nameserver redundancy and topological diversity
# S2 = Delegation correctness (inverse of defective delegation)
# S3 = Third-party provider independence (inverse of provider dependency)
# S4 = Parent-child consistency (inverse of PCI)
# S5 = Anycast adoption
# S6 = DNSSEC health (adoption and successful validation)
# S7 = Caching efficiency (hit rate, latency, and TTL)
#
# Composite DNS Resilience Index (CDRI):
# CDRI = 0.20*S1 + 0.15*S2 + 0.10*S3 + 0.15*S4 +
#        0.10*S5 + 0.20*S6 + 0.10*S7
#
# Higher CDRI values indicate stronger overall DNS resilience.
#
# This file contains only aggregated category-level scores and does not
# include domain-level measurements or sensitive infrastructure data.
category,S1,S2,S3,S4,S5,S6,S7
.sa,0.692,0.859,0.659,1.000,0.184,0.108,1.000
.gov.sa,0.340,0.251,0.553,0.000,1.000,1.000,0.878
.com.sa,0.826,0.792,0.000,0.679,0.046,0.197,0.696
.org.sa,0.169,0.412,0.635,0.161,0.747,0.359,0.392
.edu.sa,0.456,0.714,0.071,0.946,0.839,0.422,0.140
.med.sa,0.000,0.000,0.388,0.089,0.000,0.224,0.000
.net.sa,0.000,0.737,1.000,0.571,0.149,0.000,0.734
.sch.sa,0.362,1.000,0.541,0.321,0.138,0.112,0.345
.pub.sa,0.430,0.435,0.353,0.821,0.011,0.067,0.523
.idn.sa,0.275,0.757,0.424,0.482,0.092,0.045,0.636
